ESP32-S3,"11,49 €",https://www.amazon.de/WROOM-1-N16R8-ESP32-S3-DevKitC-1-Entwicklungsboards-Bluetooth-kompatibel/dp/B0FYFF8CB2?__mk_de_DE=%C3%85M%C3%85%C5%BD%C3%95%C3%91&crid=21S8WFEBVJJDZ&dib=eyJ2IjoiMSJ9.G0oW5YaUNMGX69FgJw_Y9lFzE4MIWmdPfhM_5oaN0T1sYN00djtpJHn06Gvc34DKLQlggbbk_b-Y0dFK7Ykff8B5m754d7_PBOQULuop2sDtfNkTZxKJACSZV0LREVsnYvBsh6XuUfIyCyPF-_i_71JZYwbmHyAXchO56aIVsGbRgGl5Tm5ze9B1ul2vMSJwOzrZ7V_baD9Z3Z0Pc04olHjnrxqmtvs8Wxmvmf-5wCrMGLW91XtHYl4gMUIW1IHMCPcNdOWXQNErQAXvQNgDKUl80jhVQDoUVaXsCU-q2qk.DpHnYWw9MmWttTRSbLm8KJuu8HL4Dd-VXITdE5Bhol0&dib_tag=se&keywords=ESP32-S3+WROOM-1-N16R8+ESP32-S3-DevKitC-1+Entwicklungsboards+%7C+ESP32-S3-DevKitC-1+Entwicklungsboards+mit+WLAN%2C+Bluetooth+5.0+kompatibel+mit+Arduino&qid=1786037312&s=ce-de&sprefix=esp32-s3+wroom-1-n16r8+esp32-s3-devkitc-1+entwicklungsboards+esp32-s3-devkitc-1+entwicklungsboards+mit+wlan+bluetooth+5.0+kompatibel+mit+arduino+%2Celectronics%2C153&sr=1-2
DFPlayer Mini,"3,11 €",https://www.amazon.de/DFPlayer-Player-Unterst%C3%BCtzung-Laufwerk-Lautsprecher/dp/B0DH2GJXMT?__mk_de_DE=%C3%85M%C3%85%C5%BD%C3%95%C3%91&crid=OB12JGZ3L37H&dib=eyJ2IjoiMSJ9.17GgeoQYk7RVLlE9q2RqnkcI6Eu_lsOfslguiOVLNRLmyyApGNVx5ta5y3hEtv1fct_Z0h_ImdM31ChZfSY_6pyHpi_CQljTAe8GTSFRQ2B3kFLKiueNC4xAW0A3NaQiqGnOji25Ngc6L0WVhznyoqAOWodRURBcL2_g5PSehznUFD73nqBAGI7OiTix4H4IVLN2UR1CikgskoCEYpITY6Tsf8_vBDSswEk7uTpf357UmOzXnNZExZF2gEffiVSb3UM4Mumsyrh_l4dhx_fmLS11ew1Nyx-eeKF9vXFD0SI.cHIirA-0Ii1Jyj_h1Aq5Xab_oUQ8mO7sj3E11WN9Kls&dib_tag=se&keywords=DFPlayer+Mini&qid=1786037237&s=ce-de&sprefix=%2Celectronics%2C318&sr=1-5
Headphone jack,"4,81 €",https://www.amazon.de/Audio-Klinkenstecker-MP3-Klinkenstecker-Breakout-Headset-Audio-Stereo-Mikrofonbuchse-Schnittstellenmodul/dp/B0BTHYW3Z4?__mk_de_DE=%C3%85M%C3%85%C5%BD%C3%95%C3%91&crid=1SERTM4M6RLXE&dib=eyJ2IjoiMSJ9.kLKPi1pVLRwar75iu6693BREqC1mTltPf3zAv7t0VuO1_qZ3KB2kJNg41-3ctYCM9G4CMoFcaM50cgHnyEsMN95w3f7Hg4tE_6f2H_H_gCo8GSaxfzyr3iZ05CTvsBm0fH-zaMV67ibo9oVqRr6eP7NNzQSVzY5XkULd6PMlXN8rrRpdVHFG5YiUhXebc5n_Wi8fB4eT_CAdjDbWKncB8ctfGCOfK8WrqZQjducHHmE5KVcnVJoovOlt-a29jJwjY1NH2RV3H4zKxVEWGOBJh85jJyNiByQV_2go1aj5eus.woZ4rey40ZhZPbWRgaP17s4gbTpOzVYhZXVwdGZ4_y8&dib_tag=se&keywords=audio+jack+esp32&qid=1786037347&s=ce-de&sprefix=audio+jack+esp32%2Celectronics%2C157&sr=1-6
DollaTek 2.8 Zoll ILI9341 240x320 SPI TFT LCD Display Touch Panel SPI Serielles Port Modul,"10,81 €",https://www.amazon.de/DollaTek-ILI9341-240x320-Display-Serielles/dp/B082QVKT7M?dib=eyJ2IjoiMSJ9.J5yfLOteGFbENEPSNWqXHApOxKFXKAwMR9BB27Zreqm1LVt095T_iWyQd267i8uXg3EFgyYOIA_XE-LywGVgMW0Zym79kCyvuYQhvhTCH3d9gQoFGrlGS_ZCcCBOIdB5__kLDlUQKFhY1AcLPOzNs_H7Y78wjB4T7C_tLVUqxtMTRlV-TkEUbkYmGzjR1vr6XZsQ7nWbLDGoTEQWOzzL32fn9A9g1WEJ55BeMBDMie0eC64plTwTGJ1uHO2pB3HYMzmIYGfPiEOBgoMJOoZ2YFFvPPqDTGGpHZnYJ2QkU4w.LdfyasBd44p9B3-SKq9zrHoHE2_18bR2jwoQRsvLSec&dib_tag=se&keywords=DollaTek+2.8+Zoll+ILI9341+240x320+SPI+TFT+LCD+Display+Touch+Panel+SPI+Serielles+Port+Modul&qid=1786037262&sr=8-1
"LiPo Akku 3,7V 500mAh","9,32 €",https://www.amazon.de/500mAh-602530-JST-Kabel-Wiederaufladbarer-Bluetooth-Lautsprecher/dp/B0F67FSPT8?__mk_de_DE=%C3%85M%C3%85%C5%BD%C3%95%C3%91&crid=3ENMWGLRC31JG&dib=eyJ2IjoiMSJ9.CWOV4xtxEjmdpeYLggOBP-9oqbVW7yDaLV3seOtbFMnzaBdoNAJvCYHUdGJytvCn-sM4qZ4vVi2qwJ44QaVfIdPdKwsmmXI8rUB7mEt1BqxNm98S8zMwvh9Wwuvye3G_nMNi4GE63m8MjFKK-c4DB_wJxSxaKnChlb1Pn64s-NZblM2G2-o9gdycmEEqr7XGWRfmCgcrTNyy-MQCOoy22-W6ag0HuWPe-59s9FR91JlB8fed_eM5kqfi_VrxcdPRuc1R5Ij6Xei-rfT5ZwOwFiqvK9Z86N1ABIw1MeOV67k.JqVhhYWRhri4014YV7VbSQiDIXAzo6ajVg6e7ZKU5kg&dib_tag=se&keywords=LiPo%2BBattery%2B3.7V%2B500-1000mAh&qid=1786057683&s=ce-de&sprefix=lipo%2Bbattery%2B3.7v%2B500-1000mah%2Celectronics%2C385&sr=1-10&th=1
Power Switch,"7,34 €",https://www.amazon.de/Wippschalter-Kippschalter-Einwegventil-Belastbar-Elektrische/dp/B0D4ZCWQZ1?dib=eyJ2IjoiMSJ9.lhfeDmaG4tPRr5798qEa_e0bx_bb21Vo8YRust21pcraGztub1qrHRiZyzB-iv4ArXAoonaCuc66OA22dIoXuqjltpHfPIhkBh-nDmkq5xo91ucxOeBddZ6hs3rlOpOM0xZlwqA-zlWJKiGa2hP2KgX-GXoz58vkLxz8NZLq3I_MNEbCwdUue1rnv0lcw06hmGGTFNCwV_2lUBbCGTx_IfTuVZVRtvuOEvds0uyCQcX1mtyRk3iaJNvcybZW_H__QKWWjNL8rQBUrS8TU1H6e7V2svncyFnO3WvyxchIDU0.-RHwLojzS8OeC-ontRNT8rjrR5K2PKM4VagZZVttM7c&dib_tag=se&keywords=Power+switch&qid=1786058168&sr=8-6
TP4056,"6,46 €",https://www.amazon.de/Aideepen-Lithium-Akku-Ladeplatine-Ladeger%C3%A4t-doppelten-Schutzfunktionen-Gr%C3%BCnes/dp/B0BZSB3SBN?__mk_de_DE=%C3%85M%C3%85%C5%BD%C3%95%C3%91&crid=WGPGVVN522KS&dib=eyJ2IjoiMSJ9.D0TZzQ7TDYETJIWHxau8wt1U4dovcLCcyeTu5p5OKnUu213VE774q2fU8xK7I8Jq9ZrKGf4pWj2YgjJH56b8M9SitaxofmQQQNmzt2gwn86xXy5LOr5GxsQ66cuvPDW8Dnzhvls2ncZKoumZKHjVdxdwVlqb8rbz94ENK6YO8LtWd4ABFcfaB8_y9y92_rXsGG1N1hpVWSJcexZ8a6ee4ILDyO90oVunC8cZaaJwX6k.KXErTFEqXywtLqp0_cYD1J3w6r3AiLO1PeWUqSBREZI&dib_tag=se&keywords=TP4056&qid=1786058472&sprefix=tp4056%2Caps%2C396&sr=8-4&th=1
Total:,"53,34 €",
